"studentId","name","surname","birthdate","gender","class","point"
"1","Hazel","Green","1999-05-15","F","9B","916"
"2","Ashley","Marshall","1999-10-28","F","12D","215"
"3","Ansley","Green","2000-07-12","F","12B","772"
"4","Alcock","Chapman","1999-01-25","F","10C","180"
"5","Meadow","Taylor","1999-12-30","F","11B","215"
"6","Green","Wright","1999-03-09","M","10A","552"
"7","Paxton","Foster","1999-03-03","M","12B","775"
"8","Gray","King","1999-06-26","M","12D","422"
"9","Jones","Collins","1999-01-26","M","11A","816"
"10","Leslie","Young","1999-02-10","F","11C","835"
"11","Hailey","Hill","2001-01-16","F","10C","342"
"12","Washington","Martin","2001-05-23","M","9C","187"
"13","Ramirez","Green","1999-08-28","M","11A","564"
"14","Morgan","Smith","2001-05-15","M","10C","666"
"15","Perez","Baker","1999-10-27","M","9C","936"
"16","Alfie","Watson","2001-04-05","M","10C","552"
"17","Madison","Jackson","2001-02-15","F","9E","125"
"18","Beverly","Moore","1999-11-19","F","9E","269"
"19","Kaden","Anderson","2000-11-11","M","9D","976"
"20","Carter","Adams","2000-07-08","M","11C","658"
"21","Ackland","Adams","2000-05-19","F","11C","889"
"22","Hadley","Parker","1999-11-21","F","11C","104"
"23","Henderson","Cook","2001-08-06","M","9C","798"
"24","Wright","Young","2000-05-14","M","12E","209"
"25","Lindsey","Wilkinson","2000-10-08","F","10E","225"
"26","Wren","Chapman","2000-11-06","F","12A","58"
"27","Love","Chapman","2000-10-15","F","12B","637"
"28","Wes","Bell","2001-01-25","M","9A","713"
"29","Tyler","Carter","2001-08-24","M","11C","709"
"30","Edwin","Cook","2000-08-17","M","10C","882"
"31","Sally","Wood","1999-06-07","F","12D","59"
"32","Nelson","Smith","1999-11-15","M","12D","129"
"33","Arabelle","Brown","2000-03-11","F","11C","7"
"34","Carter","Harrison","2000-11-30","M","10D","585"
"35","Baker","Bell","2000-03-24","M","11E","95"
"36","Cherish","Cooper","1999-01-31","F","10C","855"
"37","Remington","Wright","1999-08-14","M","9B","837"
"38","Edwards","King","1999-02-01","M","9C","365"
"39","Harleigh","Taylor","1999-05-05","F","10D","781"
"40","Ryleigh","Clark","1999-10-29","F","10A","795"
"41","Albert","Richardson","2000-03-19","F","9B","447"
"42","Lee","Ward","1999-05-13","M","12E","671"
"43","Kaylin","Bell","1999-09-12","F","9B","703"
"44","Agard","Young","2000-04-03","F","12A","852"
"45","Turner","Hall","2000-01-07","M","9B","4"
"46","Akes","White","2001-03-08","F","11A","686"
"47","Lewis","Lee","2001-01-30","M","11E","251"
"48","Karson","Cook","2001-06-26","M","11D","705"
"49","Hayden","Young","1999-12-15","M","9A","967"
"50","Sterling","Shaw","2000-06-24","M","12A","521"
"51","Rylan","Wright","2000-02-06","M","12B","418"
"52","Abbott","Hill","1999-01-05","F","11E","783"
"53","Alcock","Turner","2000-09-30","F","10A","642"
"54","Simmons","Davis","1999-03-30","M","10C","260"
"55","Jennifer","Moore","1999-11-01","F","9B","296"
"56","Reed","Ward","1999-11-14","M","9E","287"
"57","Adley","Adams","2000-05-31","F","11C","886"
"58","Ainley","Young","1999-01-31","F","11E","21"
"59","Ida","Gray","1999-11-30","F","10E","121"
"60","Alice","Wood","2000-04-05","F","12C","792"
"61","Kim","Marshall","2000-08-04","F","9D","540"
"62","Ainsley","Cooper","2000-10-13","F","9A","159"
"63","Josephine","Bell","2000-05-25","F","11E","812"
"64","Ronald","Lee","2000-05-12","M","12D","840"
"65","Harlee","Foster","2000-01-23","F","9E","505"
"66","Kaelyn","Chapman","1999-07-02","F","12D","433"
"67","Dev","Davis","2001-02-22","M","10D","981"
"68","Honey","Corbyn","1999-08-02","F","11D","811"
"69","Crosby","Cook","2001-08-22","M","11B","421"
"70","Jaxon","Walker","2000-06-28","M","9A","885"
"71","Alberts","Cox","2000-08-24","F","9A","356"
"72","Daxton","Smith","2000-05-27","M","12C","370"
"73","Braden","Carter","1999-03-15","M","11E","597"
"74","Johnson","Baker","1999-07-05","M","9A","467"
"75","Addison","Adams","2001-03-04","F","9D","981"
"76","Dalton","Harris","1999-12-19","M","10C","590"
"77","Chance","Johnson","1999-09-20","M","11A","565"
"78","Ailes","Wright","2001-04-20","F","9B","429"
"79","Bryant","Chapman","2001-03-11","M","10A","611"
"80","Maverick","Young","2000-04-03","M","9E","794"
"81","Acomb","Collins","1999-04-24","F","10B","733"
"82","Reed","Johnson","2000-04-01","M","11C","476"
"83","Akes","Turner","2000-09-10","F","9C","829"
"84","Rylan","Wilkinson","2000-06-30","M","12D","790"
